smp_names,X_tsne001of002,X_tsne002of002,X_diffmap001of009,X_diffmap002of009,X_diffmap003of009,X_diffmap004of009,X_diffmap005of009,X_diffmap006of009,X_diffmap007of009,X_diffmap008of009,X_diffmap009of009,X_diffmap0,louvain_groups,aga_pseudotime,aga_groups
0,-12.761195101415419,-6.988180579040506,-0.03768827021121979,0.00287758931517601,0.07822597026824951,-0.05137644708156586,-0.07155583798885345,-0.08143603056669235,0.08391323685646057,0.04929162561893463,0.03889337182044983,0.04387301206588745,1,0.0,8
1,-12.731913820342308,-6.351685743318609,-0.03752480447292328,0.002865857444703579,0.0779455378651619,-0.05119430646300316,-0.07139482349157333,-0.0814160704612732,0.08391344547271729,0.04936976358294487,0.03901759162545204,0.043673355132341385,1,0.0018443046137690544,8
2,-11.969797929825921,-6.154320728662756,-0.03659103065729141,0.0027920566499233246,0.07573066651821136,-0.04973042011260986,-0.06892039626836777,-0.07779145985841751,0.0800650417804718,0.04671870544552803,0.03658314421772957,0.042627811431884766,1,0.013520381413400173,8
3,-11.668886321080423,-5.5292449138121516,-0.035598501563072205,0.002711930312216282,0.07314951717853546,-0.0480179563164711,-0.06572657078504562,-0.07267214357852936,0.07458082586526871,0.042798805981874466,0.03288061544299126,0.04154980182647705,1,0.026598406955599785,8
4,-11.311323286347442,-4.960169366777628,-0.034732382744550705,0.0026396496687084436,0.07064627856016159,-0.04635052755475044,-0.06231364607810974,-0.06681028753519058,0.06826591491699219,0.038168154656887054,0.028435565531253815,0.040647272020578384,1,0.03876681625843048,8
5,-10.866505291988199,-4.306211477365135,-0.0340353325009346,0.0025744016747921705,0.06827052682638168,-0.044758349657058716,-0.05863329768180847,-0.06005384027957916,0.06097913905978203,0.032660119235515594,0.02310853637754917,0.03998497128486633,1,0.04974496737122536,8
6,-10.4917186846188,-3.5395915142312275,-0.03344417363405228,0.0025103341322392225,0.06579097360372543,-0.04308631271123886,-0.05432942509651184,-0.05178983137011528,0.05206466093659401,0.025819137692451477,0.016497526317834854,0.039505474269390106,1,0.06070728227496147,8
7,-10.021183181035177,-2.8956422248215348,-0.03296210616827011,0.0024375130888074636,0.06341876834630966,-0.041476283222436905,-0.04980115592479706,-0.04299645498394966,0.042687855660915375,0.01842219941318035,0.009468006901443005,0.03921094536781311,1,0.07111860066652298,8
8,-9.589272445090373,-2.1932714719281146,-0.03238038346171379,0.002329719252884388,0.06055136024951935,-0.039524443447589874,-0.044162917882204056,-0.03225647285580635,0.03139796853065491,0.00935270544141531,0.0010578010696917772,0.03890597075223923,1,0.08398830890655518,8
9,-9.118465488067855,-1.6240463567447214,-0.0318702831864357,0.002182585187256336,0.058148324489593506,-0.037873774766922,-0.03896985948085785,-0.02267472818493843,0.02172207087278366,0.0009317199583165348,-0.0064284829422831535,0.03875231742858887,1,0.09536179900169373,8
10,-8.578515564592694,-1.115201467340029,-0.031024150550365448,0.0018444685265421867,0.05578828230500221,-0.036223649978637695,-0.03317749500274658,-0.013291147537529469,0.013531956821680069,-0.008472460322082043,-0.01396956853568554,0.03850989788770676,1,0.10900662839412689,8
