smp_names,X_draw_graph_fr001of002,X_draw_graph_fr002of002,louvain_groups,X_diffmap001of009,X_diffmap002of009,X_diffmap003of009,X_diffmap004of009,X_diffmap005of009,X_diffmap006of009,X_diffmap007of009,X_diffmap008of009,X_diffmap009of009,X_diffmap0,aga_groups
0,366.17494144743114,-232.11773095504904,5,0.0004077690828125924,0.04381393641233444,-0.038478754460811615,0.004780772607773542,-0.08855610340833664,-0.01826469786465168,-0.07161049544811249,0.05556502938270569,0.107701875269413,-0.0019106457475572824,0
1,386.96897804274926,-242.11390779898946,5,0.0004058237245772034,0.043604906648397446,-0.03830340877175331,0.004760192707180977,-0.08822225779294968,-0.018198629841208458,-0.07142870128154755,0.05554303154349327,0.10770489275455475,-0.0019015299621969461,0
2,387.10719962497205,-248.7588350661383,5,0.0003957857843488455,0.04252633824944496,-0.03732231259346008,0.004634405020624399,-0.08564968407154083,-0.01765591837465763,-0.06895704567432404,0.05306690186262131,0.10266595333814621,-0.0018544954946264625,0
3,377.92255506172177,-269.97987221026415,5,0.0003853853850159794,0.041408829391002655,-0.03627680242061615,0.004497357178479433,-0.082645945250988,-0.017013568431138992,-0.06579337269067764,0.04957681894302368,0.09545903652906418,-0.001805762993171811,0
4,352.8568790920878,-251.08949080227077,5,0.0003770549956243485,0.04051375016570091,-0.035404399037361145,0.004379282705485821,-0.07983725517988205,-0.016403742134571075,-0.06254307180643082,0.04569133743643761,0.08735186606645584,-0.00176673021633178,0
5,363.98791658740987,-273.77159836620535,5,0.0003705928102135658,0.039819397032260895,-0.034672513604164124,0.004270500037819147,-0.07711964100599289,-0.015801945701241493,-0.059040479362010956,0.04121318459510803,0.07799580693244934,-0.001736450707539916,0
6,342.945805807023,-269.98284104253963,5,0.00036599847953766584,0.03932575508952141,-0.034057650715112686,0.004163261502981186,-0.07427794486284256,-0.015156787820160389,-0.054901693016290665,0.03560323268175125,0.06628445535898209,-0.0017149241175502539,0
7,334.6148604011007,-278.1036723839992,5,0.00036299490602687,0.03900302201509476,-0.033524639904499054,0.0040423511527478695,-0.07138076424598694,-0.014483538456261158,-0.05025916546583176,0.029186101630330086,0.05308814346790314,-0.0017008502036333084,0
8,314.098752091144,-292.51632943896846,5,0.00035971414763480425,0.0386505164206028,-0.03287617117166519,0.0038610142655670643,-0.06823170930147171,-0.013741714879870415,-0.04501676186919212,0.022113708779215813,0.03906223550438881,-0.0016854782588779926,0
9,297.50185429667744,-308.73291955526076,5,0.0003576585149858147,0.03842964023351669,-0.03227245807647705,0.003634260967373848,-0.06552915275096893,-0.013084464706480503,-0.04005168005824089,0.015539000742137432,0.0267162062227726,-0.001675846055150032,0
10,272.93744437666174,-317.25555805900615,5,0.000355052063241601,0.038149576634168625,-0.031314317137002945,0.0031741417478770018,-0.06279299408197403,-0.012374854646623135,-0.034139640629291534,0.008249948732554913,0.015081431716680527,-0.0016636330401524901,0
11,246.04555066768012,-330.64929824774856,5,0.00034985807724297047,0.03759147971868515,-0.029749782755970955,0.0024130516685545444,-0.05958336219191551,-0.0115134809166193,-0.026758883148431778,-0.00012158652680227533,0.0038064997643232346,-0.0016392952529713511,0
12,229.5805284946869,-343.2922405846675,5,0.0003486810310278088,0.03746499493718147,-0.02872772142291069,0.0018011688953265548,-0.05766836926341057,-0.010951472446322441,-0.021236402913928032,-0.0064932540990412235,-0.004254525527358055,-0.0016337793786078691,0
13,204.49640758358055,-353.0174543363264,12,0.00035015909816138446,0.037623804062604904,-0.027497822418808937,0.0008710980182513595,-0.05661635845899582,-0.010502703487873077,-0.015188373625278473,-0.012995759956538677,-0.009554041549563408,-0.0016407043440267444,12
14,178.22104975859543,-357.96808856924537,5,0.0003516903962008655,0.03778834640979767,-0.026025252416729927,-0.00026802814682014287,-0.056179966777563095,-0.010151906870305538,-0.00920388475060463,-0.018956877291202545,-0.011763197369873524,-0.0016478794859722257,0
15,160.22970417906436,-356.17149814984714,12,0.00035412635770626366,0.038050077855587006,-0.02511719800531864,-0.001051548053510487,-0.056217629462480545,-0.00998182687908411,-0.005533247720450163,-0.02222384139895439,-0.011826212517917156,-0.0016592934262007475,12
16,135.92313885057712,-361.86269440881017,12,0.0003569177642930299,0.03835001215338707,-0.023815546184778214,-0.002120578894391656,-0.055886395275592804,-0.00966873113065958,-0.00019871513359248638,-0.026835134252905846,-0.012608572840690613,-0.0016723723383620381,12
17,114.4094020267872,-366.4678951106025,12,0.0003596209571696818,0.03864045813679695,-0.02259134128689766,-0.0031221704557538033,-0.05550394952297211,-0.009362049400806427,0.004724341444671154,-0.030762024223804474,-0.012947342358529568,-0.0016850378597155213,12
18,87.99004001012521,-368.66467638675596,12,0.00036346743581816554,0.03905375674366951,-0.021075136959552765,-0.004382520914077759,-0.055075015872716904,-0.008989923633635044,0.010665728710591793,-0.035041678696870804,-0.012560627423226833,-0.0017030611634254456,12
19,65.14430191260138,-371.3194537309046,12,0.0003677897620946169,0.03951818868517876,-0.01955147460103035,-0.005665584933012724,-0.054639145731925964,-0.008612481877207756,0.01657792739570141,-0.03896589204668999,-0.011762406677007675,-0.0017233142862096429,12
20,41.72488040238534,-372.80686880934167,12,0.00037182788946665823,0.039952073246240616,-0.018177200108766556,-0.006815165746957064,-0.05409510061144829,-0.008244589902460575,0.021803582087159157,-0.04200476035475731,-0.010910440236330032,-0.0017422352684661746,12
21,15.217958209646978,-376.2577302088958,12,0.00037559427437372506,0.04035675898194313,-0.016551494598388672,-0.0081112589687109,-0.05323396995663643,-0.007784993853420019,0.027602167800068855,-0.04491126537322998,-0.009701824747025967,-0.0017598828999325633,12
22,-8.953580091754725,-377.3491514889913,12,0.00037909147795289755,0.04073253646492958,-0.014770761132240295,-0.009481717832386494,-0.0520622655749321,-0.007251470349729061,0.03359934687614441,-0.04734016954898834,-0.008239328861236572,-0.0017762696370482445,12
23,-33.16941391952546,-378.77004665852235,9,0.0003812018840108067,0.04095929116010666,-0.013026776723563671,-0.010742394253611565,-0.050655387341976166,-0.006701875943690538,0.03897903487086296,-0.04893404245376587,-0.006690411362797022,-0.0017861577216535807,6
24,-66.89328219277543,-382.20196755462484,9,0.00038204394513741136,0.04104974493384361,-0.010947336442768574,-0.012146467342972755,-0.04865904152393341,-0.006015189923346043,0.04475913569331169,-0.0499027855694294,-0.00476203765720129,-0.0017901017563417554,6
25,-103.20854537057562,-384.32926557636966,9,0.00038131256587803364,0.04097115620970726,-0.008683211170136929,-0.013569983653724194,-0.046149589121341705,-0.005234517157077789,0.050334177911281586,-0.049892108887434006,-0.0026011252775788307,-0.0017866743728518486,6
26,-124.09446458049908,-383.3000605216419,9,0.0003793252690229565,0.040757615119218826,-0.006865495815873146,-0.014631180092692375,-0.04386681318283081,-0.004583730362355709,0.054211921989917755,-0.04907144978642464,-0.0008403638494201005,-0.0017773619620129466,6
27,-154.1627146241325,-380.79151671740266,9,0.0003760431136470288,0.04040493443608284,-0.004918666090816259,-0.015710540115833282,-0.04121305048465729,-0.0038705577608197927,0.05787771940231323,-0.047615230083465576,0.0010425298241898417,-0.0017619817517697811,6
28,-186.8161983919677,-386.10599148191324,9,0.00037184215034358203,0.03995353728532791,-0.003111241152510047,-0.016672184690833092,-0.03848607838153839,-0.0031895560678094625,0.06064138561487198,-0.04552190750837326,0.002792766084894538,-0.001742296852171421,6
29,-210.14998912066346,-385.8246162141895,9,0.00036685471422970295,0.039417631924152374,-0.0013842361513525248,-0.01759990118443966,-0.035656195133924484,-0.002527340315282345,0.06278180330991745,-0.04309489578008652,0.004490210209041834,-0.0017189265927299857,6
30,-226.94689350427996,-389.3147233333918,9,0.0003626561665441841,0.03896649181842804,-4.4703352614305913e-05,-0.018391747027635574,-0.03328507021069527,-0.0020083137787878513,0.06404935568571091,-0.04095832630991936,0.005853672046214342,-0.0016992529854178429,6
